palavra,frequencia
alterar,3
percebese,3
quao,3
bando,3
arrombado,3
httpstcotmjqhsz0na,3
material,3
elei,3
p,3
semana,2
demais,2
politico,2
profissao,2
natural,2
perfil,2
ressalta,2
marrom,2
carate,2
mandato,2
httpstcoxlhxl2e58l,2
machistas,2
conta,2
jesselopes,2
quiser,2
qualquer,2
sai,2
simples,2
gostam,2
ler,2
disparate,2
preferindo,2
folha,2
censurada,2
otopoedasminas,2
niunamenos,2
nela,2
pau,2
horas,2
ajudar,2
comissao,2
etica,2
parlamentar,2
realidade,2
forcada,2
dementador,2
significado,2
merecem,2
desses,2
machismomata,2
porque,2
falei,2
deixar,2
paz,2
assistam,2
respeitaasmina,2
ah,2
vem,2
quantas,2
necessario,2
devem,2
pessoal,2
redes,2
violenciadegenero,2
machistasnaopassarao,2
absurdos,2
dai,2
consegue,2
definira,2
carta,2
sr,2
fiquei,2
jantou,2
queria,2
deu,2
vale,2
manifesto,2
gt,2
arte,2
vao,2
podemos,2
2019,2
boca,2
meto,2
pessoa,2
filha,2
hipocritas,2
problema,2
assedionaoedireito,2
embarangada,2
alguns,2
pensamento,2
aplaudir,2
httpstcooa9nhj1xyj,2
vendo,2
ponde,2
trend,2
topic,2
falado,2
m3rrd,2
kkkkkkkkkkkkkkkkkkkkkkkkkkkkk,2
democraciaemvertigem,2
valeu,2
minhoca,2
dou,2
dizendo,2
tempo,2
fica,2
estao,2
jornalista,2
vivemos,2
momento,2
culto,2
pronunciando,2
desta,2
httpstco4gch4idzpr,2
acabar,2
mulherada,2
fala,2
sensacional,2
deixa,2
mostra,2
tanto,2
machos,2
vanessasoaresc4,2
passaroserosas,2
julgamento,2
favoravel,2
exprime,2
louvor,2
impertinente,2
sugestao,2
pretensao,2
constantes,2
aprendam,2
respeitar,2
httpstcogakqmrjrcr,2
infelizmente,2
privilegio,2
amigas,2
cidadao,2
diferente,2
ouvir,2
algo,2
transnoesporte,2
achando,2
certo,2
carater,2
dentro,2
hora,2
precisamos,2
deveria,2
mincrj,2
lindo,2
meninas,2
declaracao,2
falou,2
claraaverbuck,2
tbm,2
httpstco04ahzlnhl8,2
meia,2
tigela,2
processado,2
cacado,2
certamente,2
populacao,2
serve,2
paga,2
salario,2
publicas,2
jose,2
httpstcobglpntfwms,2
pratica,2
ato,2
repugnante,2
invasivo,2
violador,2
tipificado,2
integridade,2
combatido,2
dizer,2
olho,2
dessa,2
porra,2
objeto,2
machoes,2
insistentes,2
poderiam,2
regua,2
hetero,2
atracao,2
obviamente,2
desconfortavel,2
descobriu,2
sente,2
httpstcoj8p8fcyqvf,2
httpstcori86jvij7c,2
apoio,2
httpstcoazuaia4vjc,2
palmas,2
definicao,2
fo,2
atualizada,2
httpstcorr2o7yce28,2
conceito,2
simplesmente,2
ultimos,2
apenas,2
tres,2
finalizar,2
espirito,2
santo,2
paulo,2
distrito,2
federal,2
piaui,2
paraiba,2
clica,2
link,2
httpstcodj4mbsikpk,2
httpstcoircgnnnxni,2
esperma,2
mariomottatv,2
abrindo,2
espaco,2
